quote,author
"?The most beautiful and most profound emotion we can experience is the sensation of the mystical. It is the sower of all true science. He to whom this emotion is a stranger, who can no longer wonder and stand rapt in awe, is as good as dead. To know that what is impenetrable to us really exists, manifesting itself as the highest wisdom and the most radiant beauty which our dull faculties can comprehend only in their most primitive forms-this knowledge, this feeling is at the center of true religiousness.?Albert Einstein albert einstein",Unknown
"Acceptance - Robert Frost When the spent sun throws up its rays on cloudAnd goes down burning into the gulf below,No voice in nature is heard to cry aloudAt what has happened. Birds, at least must knowIt is the change to darkness in the sky.Murmuring something quiet in her breast,One bird begins to close a faded eye;Or overtaken too far from his nest,Hurrying low above the grove, some waifSwoops just in time to his remembered tree.At most he thinks or twitters softly, ?Safe!Now let the night be dark for all of me.Let the night be too dark for me to seeInto the future. Let what will be, be.?",Unknown
calvin and hobbes,Unknown
The heart has its reasons of which reason knows nothing.                    ? blaise pascal,Blaise Pascal
A riveting poetry reading by Maya Angelou. Beautiful! maya angelou poetry reading,Unknown
"Invictus by William Ernest HenleyOut of the night that covers me,     Black as the Pit from pole to pole,   I thank whatever gods may be     For my unconquerable soul.   In the fell clutch of circumstance   I have not winced nor cried aloud.   Under the bludgeonings of chance     My head is bloody, but unbowed.   Beyond this place of wrath and tears     Looms but the Horror of the shade, And yet the menace of the years     Finds, and shall find, me unafraid.   It matters not how strait the gate,     How charged with punishments the scroll,   I am the master of my fate:  I am the captain of my soul invictus",Unknown
A profound conversation with Eddie Izzard on how he sees the world and how he?s shaping his place in it. eddie izzard,Unknown
"Excerpt from€?The People, Yes? by Carl Sandburg Tell him solitude is creative if he is strongand the final decisions are made in silent rooms.Tell him to be different from other peopleif it comes natural and easy being different.Let him have lazy days seeking his deeper motives.Let him seek deep for where he is a born natural.Then he may understand Shakespeareand the Wright brothers, Pasteur, Pavlov,Michael Faraday and free imaginationsBringing changes into a world resenting change.He will be lonely enoughto have time for the workhe knows as his own carl sandburg",Unknown
When the slave leaves bondage his first act is to name himself                    ? elizabeth cady stanton,Elizabeth Cady Stanton
?It was silent outside. Carlson?s footsteps died away. The silence came into the room. And the silence lasted?Excerpt from John Steinbeck?s ?Of mice and men? john steinbeck,Unknown
"Our excessive focus in the modern world on the power of conscious thought and the benefits of willpower and self-control causes us to overlook the pervasive importance of what might be called ?body thinking?: tacit, fast, and semiautomatic behavior that flows from the unconscious with little or no conscious interference. The result is that we too often devote ourselves to pushing harder or moving faster in areas of our life where effort and striving are, in fact, profoundly counterproductive.                    ? Edward Slingerland edward slimgerland",Unknown
